id,date,annee,type,prix,surface,prixm2,codecommune,latitude,longitude
2014-1018916,2014-01-10,2014,Appartement,212000,62,3419,94071,48.769573,2.537343
2014-1018938,2014-01-23,2014,Maison,690300,140,4931,94071,48.779603,2.517753
2014-1018950,2014-01-24,2014,Maison,370000,106,3491,94071,48.771036,2.536456
2014-1018956,2014-01-16,2014,Maison,640000,145,4414,94071,48.767357,2.520807
2014-1018978,2014-01-21,2014,Maison,390000,132,2955,94071,48.766353,2.531841
2014-1018979,2014-01-24,2014,Maison,490700,144,3408,94071,48.762192,2.53717
2014-1019014,2014-01-30,2014,Maison,745000,223,3341,94071,48.766799,2.524514
2014-1019016,2014-02-07,2014,Maison,231000,60,3850,94071,48.775326,2.512614
2014-1019021,2014-02-03,2014,Maison,280000,71,3944,94071,48.776529,2.510987
2014-1019034,2014-01-17,2014,Appartement,115480,45,2566,94071,48.767259,2.528705
2014-1019095,2014-02-14,2014,Appartement,105000,28,3750,94071,48.762639,2.527516
2014-1019103,2014-01-31,2014,Maison,190000,120,1583,94071,48.778122,2.518733
2014-1019116,2014-02-05,2014,Appartement,197500,101,1955,94071,48.775918,2.522424
2014-1019132,2014-02-14,2014,Appartement,280000,83,3373,94071,48.785382,2.516611
2014-1019140,2014-02-21,2014,Maison,285000,51,5588,94071,48.766691,2.525717
2014-1019157,2014-02-03,2014,Appartement,146000,52,2808,94071,48.769549,2.522133
2014-1019178,2014-02-07,2014,Appartement,200000,49,4082,94071,48.770885,2.520508
2014-1019193,2014-02-14,2014,Appartement,137000,42,3262,94071,48.770869,2.525041
2014-1019200,2014-02-06,2014,Appartement,244000,83,2940,94071,48.785382,2.516611
2014-1019202,2014-02-27,2014,Appartement,127000,35,3629,94071,48.766586,2.508515
2014-1019217,2014-02-17,2014,Appartement,134000,53,2528,94071,48.776279,2.522352
2014-1019226,2014-02-27,2014,Appartement,137000,53,2585,94071,48.776279,2.522352
2014-1019231,2014-02-26,2014,Appartement,237000,69,3435,94071,48.769549,2.522133
2014-1019246,2014-02-26,2014,Maison,423000,136,3110,94071,48.774821,2.534913
2014-1019251,2014-02-14,2014,Maison,275000,54,5093,94071,48.759778,2.554798
